Airport,Year,OpenHour,CloseHour,Capacity
BGET,2022,0,24,999
BGET,2023,0,24,999
BGET,2024,0,24,999
BGET,2025,0,24,999
BGFD,2018,0,24,999
BGFD,2019,0,24,999
BGFD,2020,0,24,999
BGFD,2021,0,24,999
BGFD,2022,0,24,999
BGFD,2023,0,24,999
BGFD,2024,0,24,999
BGFD,2025,0,24,999
BGFH,2018,0,24,999
BGFH,2019,0,24,999
BGFH,2020,0,24,999
BGFH,2021,0,24,999
BGFH,2022,0,24,999
BGFH,2023,0,24,999
BGFH,2024,0,24,999
BGFH,2025,0,24,999
BGGD,2018,0,24,999
BGGD,2019,0,24,999
BGGD,2020,0,24,999
BGGD,2021,0,24,999
BGGD,2022,0,24,999
BGGD,2023,0,24,999
BGGD,2024,0,24,999
BGGD,2025,0,24,999
BGGH,2018,0,24,999
BGGH,2019,0,24,999
BGGH,2020,0,24,999
BGGH,2021,0,24,999
BGGH,2022,0,24,999
BGGH,2023,0,24,999
BGGH,2024,0,24,999
BGGH,2025,0,24,999
BGGN,2018,0,24,999
BGGN,2019,0,24,999
BGGN,2020,0,24,999
BGGN,2021,0,24,999
BGGN,2022,0,24,999
BGGN,2023,0,24,999
BGGN,2024,0,24,999
BGGN,2025,0,24,999
BGIA,2018,0,24,999
BGIA,2019,0,24,999
BGIA,2020,0,24,999
BGIA,2021,0,24,999
BGIA,2022,0,24,999
BGIA,2023,0,24,999
BGIA,2024,0,24,999
BGIA,2025,0,24,999
BGIG,2018,0,24,999
BGIG,2019,0,24,999
BGIG,2020,0,24,999
BGIG,2021,0,24,999
BGIG,2022,0,24,999
BGIG,2023,0,24,999
BGIG,2024,0,24,999
BGIG,2025,0,24,999
BGIK,2018,0,24,999
BGIK,2019,0,24,999
BGIK,2020,0,24,999
BGIK,2021,0,24,999
BGIK,2022,0,24,999
BGIK,2023,0,24,999
BGIK,2024,0,24,999
BGIK,2025,0,24,999
BGIL,2018,0,24,999
BGIL,2019,0,24,999
BGIL,2020,0,24,999
BGIL,2021,0,24,999
BGIL,2022,0,24,999
BGIL,2023,0,24,999
BGIL,2024,0,24,999
BGIL,2025,0,24,999
BGIN,2018,0,24,999
BGIN,2019,0,24,999
BGIN,2020,0,24,999
BGIN,2021,0,24,999
BGIN,2022,0,24,999
BGIN,2023,0,24,999
BGIN,2024,0,24,999
BGIN,2025,0,24,999
BGIS,2018,0,24,999
BGIS,2019,0,24,999
BGIS,2020,0,24,999
BGIS,2021,0,24,999
BGIS,2022,0,24,999
BGIS,2023,0,24,999
BGIS,2024,0,24,999
BGIS,2025,0,24,999
BGIT,2018,0,24,999
BGIT,2019,0,24,999
BGIT,2020,0,24,999
BGIT,2021,0,24,999
BGIT,2022,0,24,999
BGIT,2023,0,24,999
BGIT,2024,0,24,999
BGIT,2025,0,24,999
BGJH,2018,0,24,999
BGJH,2019,0,24,999
BGJH,2020,0,24,999
BGJH,2021,0,24,999
BGJH,2022,0,24,999
BGJH,2023,0,24,999
BGJH,2024,0,24,999
BGJH,2025,0,24,999
BGJN,2018,0,24,999
BGJN,2019,0,24,999
BGJN,2020,0,24,999
BGJN,2021,0,24,999
BGJN,2022,0,24,999
BGJN,2023,0,24,999
BGJN,2024,0,24,999
BGJN,2025,0,24,999
BGKA,2018,0,24,999
BGKA,2019,0,24,999
BGKA,2020,0,24,999
BGKA,2021,0,24,999
BGKA,2022,0,24,999
BGKA,2023,0,24,999
BGKA,2024,0,24,999
BGKA,2025,0,24,999
BGKK,2018,0,24,999
BGKK,2019,0,24,999
BGKK,2020,0,24,999
BGKK,2021,0,24,999
BGKK,2022,0,24,999
BGKK,2023,0,24,999
BGKK,2024,0,24,999
BGKK,2025,0,24,999
BGKL,2018,0,24,999
BGKL,2019,0,24,999
BGKL,2020,0,24,999
BGKL,2021,0,24,999
BGKL,2022,0,24,999
BGKL,2023,0,24,999
BGKL,2024,0,24,999
BGKL,2025,0,24,999
BGKM,2018,0,24,999
BGKM,2019,0,24,999
BGKM,2020,0,24,999
BGKM,2021,0,24,999
BGKM,2022,0,24,999
BGKM,2023,0,24,999
BGKM,2024,0,24,999
BGKM,2025,0,24,999
BGKQ,2018,0,24,999
BGKQ,2019,0,24,999
BGKQ,2020,0,24,999
BGKQ,2021,0,24,999
BGKQ,2022,0,24,999
BGKQ,2023,0,24,999
BGKQ,2024,0,24,999
BGKQ,2025,0,24,999
BGKS,2018,0,24,999
BGKS,2019,0,24,999
BGKS,2020,0,24,999
BGKS,2021,0,24,999
BGKS,2022,0,24,999
BGKS,2023,0,24,999
BGKS,2024,0,24,999
BGKS,2025,0,24,999
BGKT,2018,0,24,999
BGKT,2019,0,24,999
BGKT,2020,0,24,999
BGKT,2021,0,24,999
BGKT,2022,0,24,999
BGKT,2023,0,24,999
BGKT,2024,0,24,999
BGKT,2025,0,24,999
BGLL,2018,0,24,999
BGLL,2019,0,24,999
BGLL,2020,0,24,999
BGLL,2021,0,24,999
BGLL,2022,0,24,999
BGLL,2023,0,24,999
BGLL,2024,0,24,999
BGLL,2025,0,24,999
BGMQ,2018,0,24,999
BGMQ,2019,0,24,999
BGMQ,2020,0,24,999
BGMQ,2021,0,24,999
BGMQ,2022,0,24,999
BGMQ,2023,0,24,999
BGMQ,2024,0,24,999
BGMQ,2025,0,24,999
BGMV,2018,0,24,999
BGMV,2019,0,24,999
BGMV,2020,0,24,999
BGMV,2021,0,24,999
BGMV,2022,0,24,999
BGMV,2023,0,24,999
BGMV,2024,0,24,999
BGMV,2025,0,24,999
BGNK,2018,0,24,999
BGNK,2019,0,24,999
BGNK,2020,0,24,999
BGNK,2021,0,24,999
BGNK,2022,0,24,999
BGNK,2023,0,24,999
BGNK,2024,0,24,999
BGNK,2025,0,24,999
BGNL,2018,0,24,999
BGNL,2019,0,24,999
BGNL,2020,0,24,999
BGNL,2021,0,24,999
BGNL,2022,0,24,999
BGNL,2023,0,24,999
BGNL,2024,0,24,999
BGNL,2025,0,24,999
BGNN,2018,0,24,999
BGNN,2019,0,24,999
BGNN,2020,0,24,999
BGNN,2021,0,24,999
BGNN,2022,0,24,999
BGNN,2023,0,24,999
BGNN,2024,0,24,999
BGNN,2025,0,24,999
BGNO,2018,0,24,999
BGNO,2019,0,24,999
BGNO,2020,0,24,999
BGNO,2021,0,24,999
BGNO,2022,0,24,999
BGNO,2023,0,24,999
BGNO,2024,0,24,999
BGNO,2025,0,24,999
BGNQ,2018,0,24,999
BGNQ,2019,0,24,999
BGNQ,2020,0,24,999
BGNQ,2021,0,24,999
BGNQ,2022,0,24,999
BGNQ,2023,0,24,999
BGNQ,2024,0,24,999
BGNQ,2025,0,24,999
BGNS,2018,0,24,999
BGNS,2019,0,24,999
BGNS,2020,0,24,999
BGNS,2021,0,24,999
BGNS,2022,0,24,999
BGNS,2023,0,24,999
BGNS,2024,0,24,999
BGNS,2025,0,24,999
BGNT,2018,0,24,999
BGNT,2019,0,24,999
BGNT,2020,0,24,999
BGNT,2021,0,24,999
BGNT,2022,0,24,999
BGNT,2023,0,24,999
BGNT,2024,0,24,999
BGNT,2025,0,24,999
BGNU,2018,0,24,999
BGNU,2019,0,24,999
BGNU,2020,0,24,999
BGNU,2021,0,24,999
BGNU,2022,0,24,999
BGNU,2023,0,24,999
BGNU,2024,0,24,999
BGNU,2025,0,24,999
BGPC,2018,0,24,999
BGPC,2019,0,24,999
BGPC,2020,0,24,999
BGPC,2021,0,24,999
BGPC,2022,0,24,999
BGPC,2023,0,24,999
BGPC,2024,0,24,999
BGPC,2025,0,24,999
BGPT,2018,0,24,999
BGPT,2019,0,24,999
BGPT,2020,0,24,999
BGPT,2021,0,24,999
BGPT,2022,0,24,999
BGPT,2023,0,24,999
BGPT,2024,0,24,999
BGPT,2025,0,24,999
BGQE,2018,0,24,999
BGQE,2019,0,24,999
BGQE,2020,0,24,999
BGQE,2021,0,24,999
BGQE,2022,0,24,999
BGQE,2023,0,24,999
BGQE,2024,0,24,999
BGQE,2025,0,24,999
BGQQ,2018,0,24,999
BGQQ,2019,0,24,999
BGQQ,2020,0,24,999
BGQQ,2021,0,24,999
BGQQ,2022,0,24,999
BGQQ,2023,0,24,999
BGQQ,2024,0,24,999
BGQQ,2025,0,24,999
BGQT,2018,0,24,999
