RegulationID,Capacity,StartTimestamp,EndTimestamp,ReferenceLocationName,ReferenceLocationType,ReferenceLocationRole,SlotWindowWidth,SlotSliceWidth
LEPAA03E,34,2019-08-03T06:40:00.000Z,2019-08-03T10:00:00.000Z,LEPA/SJ,AZ,A,6,20
LEPA04A,34,2019-08-04T15:20:00.000Z,2019-08-04T18:14:00.000Z,LEPA/SJ,AZ,A,10,20
LEPAA03A,34,2019-08-03T12:00:00.000Z,2019-08-03T16:40:00.000Z,LEPA/SJ,AZ,A,8,20
LEPAA01A,34,2019-08-01T16:20:00.000Z,2019-08-01T18:00:00.000Z,LEPA/SJ,AZ,A,6,20
LEPAA02,34,2019-08-02T07:00:00.000Z,2019-08-02T08:20:00.000Z,LEPA/SJ,AZ,A,8,20
LEPAA01,34,2019-08-01T07:40:00.000Z,2019-08-01T09:00:00.000Z,LEPA/SJ,AZ,A,6,20
LEPAA30,34,2019-07-30T07:20:00.000Z,2019-07-30T09:00:00.000Z,LEPA/SJ,AZ,A,10,20
LEPAA27,34,2019-07-27T06:00:00.000Z,2019-07-27T12:00:00.000Z,LEPA/SJ,AZ,A,8,20
LEPAA28A,34,2019-07-28T15:40:00.000Z,2019-07-28T20:00:00.000Z,LEPA/SJ,AZ,A,10,20
LEPAA27A,30,2019-07-27T13:00:00.000Z,2019-07-27T14:30:00.000Z,LEPA/SJ,AZ,A,10,20
LEPAA27L,34,2019-07-27T17:40:00.000Z,2019-07-27T20:52:00.000Z,LEPA/SJ,AZ,A,6,20
LEPAA26A,20,2019-07-26T13:30:00.000Z,2019-07-26T13:44:00.000Z,LEPA/SJ,AZ,A,10,20
LEPAA26A,34,2019-07-26T14:50:00.000Z,2019-07-26T16:05:00.000Z,LEPA/SJ,AZ,A,10,20
LEPAA26A,22,2019-07-26T13:44:00.000Z,2019-07-26T14:34:00.000Z,LEPA/SJ,AZ,A,10,20
LEPAA26A,26,2019-07-26T14:34:00.000Z,2019-07-26T14:50:00.000Z,LEPA/SJ,AZ,A,10,20
LEPAA25A,34,2019-07-25T18:20:00.000Z,2019-07-25T19:49:00.000Z,LEPA/SJ,AZ,A,6,20
LEPAA25M,34,2019-07-25T07:00:00.000Z,2019-07-25T09:00:00.000Z,LEPA/SJ,AZ,A,6,20
LEPAA24,34,2019-07-24T10:20:00.000Z,2019-07-24T11:40:00.000Z,LEPA/SJ,AZ,A,10,20
