airline,num flights,initial costs,final costs,reduction %,run,model
B,14,7914.35,1317.3500000000001,83.35,10,mincost
D,8,2068.6000000000004,877.18,57.6,10,mincost
E,3,2665.66,184.77,93.07,10,mincost
F,1,155.25,0.0,100.0,10,mincost
C,9,4937.049999999999,1001.3699999999999,79.72,10,mincost
total,50,21983.230000000003,5405.010000000002,75.41,10,nnbound
A,15,4242.320000000001,2024.3400000000001,52.28,10,nnbound
B,14,7914.35,1317.3500000000001,83.35,10,nnbound
D,8,2068.6000000000004,877.18,57.6,10,nnbound
E,3,2665.66,184.77,93.07,10,nnbound
F,1,155.25,0.0,100.0,10,nnbound
C,9,4937.049999999999,1001.3699999999999,79.72,10,nnbound
total,50,21983.230000000003,11362.339999999998,48.31,10,udpp
A,15,4242.320000000001,1458.2199999999998,65.63,10,udpp
B,14,7914.35,2603.46,67.1,10,udpp
D,8,2068.6000000000004,774.49,62.56,10,udpp
E,3,2665.66,1725.04,35.29,10,udpp
F,1,155.25,115.36,25.69,10,udpp
C,9,4937.049999999999,4685.77,5.09,10,udpp
total,50,11362.340000000002,7068.82,67.84,10,istop
A,15,1458.22,1380.29,67.46,10,istop
B,14,2603.46,2525.58,68.09,10,istop
D,8,774.49,690.0600000000001,66.64,10,istop
F,1,115.36,115.36,25.69,10,istop
E,3,1725.04,1336.9299999999998,49.85,10,istop
C,9,4685.77,1020.6,79.33,10,istop
total,50,105693.94000000002,5763.330000000001,94.55,11,mincost
C,10,59408.92,845.72,98.58,11,mincost
A,16,7584.35,1615.6299999999999,78.7,11,mincost
E,3,268.98,271.89,-1.08,11,mincost
B,14,30169.79,1982.0799999999997,93.43,11,mincost
F,1,21.9,255.5,-1066.67,11,mincost
D,6,8240.0,792.51,90.38,11,mincost
total,50,105693.94000000002,6166.77,94.17,11,nnbound
C,10,59408.92,878.52,98.52,11,nnbound
A,16,7584.35,1700.9899999999998,77.57,11,nnbound
E,3,268.98,257.6,4.23,11,nnbound
B,14,30169.79,2475.2199999999993,91.8,11,nnbound
F,1,21.9,21.9,0.0,11,nnbound
D,6,8240.0,832.5400000000001,89.9,11,nnbound
total,50,105693.94000000002,7989.539999999999,92.44,11,udpp
C,10,59408.92,2534.68,95.73,11,udpp
A,16,7584.35,1720.5699999999997,77.31,11,udpp
E,3,268.98,136.32,49.32,11,udpp
B,14,30169.79,2673.02,91.14,11,udpp
F,1,21.9,21.9,0.0,11,udpp
D,6,8240.0,903.0500000000001,89.04,11,udpp
total,50,7989.539999999998,7632.8,92.78,11,istop
C,10,2534.68,2534.68,95.73,11,istop
A,16,1720.57,1697.8600000000001,77.61,11,istop
E,3,136.32,136.32,49.32,11,istop
B,14,2673.0199999999995,2528.87,91.62,11,istop
F,1,21.9,21.9,0.0,11,istop
D,6,903.05,713.17,91.35,11,istop
total,50,28173.06,6064.35,78.47,12,mincost
A,17,9533.770000000002,2366.46,75.18,12,mincost
B,14,13473.97,1561.61,88.41,12,mincost
C,10,2409.4,1172.2600000000002,51.35,12,mincost
E,2,430.14,38.83,90.97,12,mincost
D,6,2039.89,901.69,55.8,12,mincost
F,1,285.89,23.5,91.78,12,mincost
total,50,28173.06,6064.35,78.47,12,nnbound
A,17,9533.770000000002,2366.46,75.18,12,nnbound
B,14,13473.97,1561.61,88.41,12,nnbound
C,10,2409.4,1172.2600000000002,51.35,12,nnbound
E,2,430.14,38.83,90.97,12,nnbound
D,6,2039.89,901.69,55.8,12,nnbound
F,1,285.89,23.5,91.78,12,nnbound
total,50,28173.06,7857.340000000001,72.11,12,udpp
A,17,9533.770000000002,3087.7599999999998,67.61,12,udpp
B,14,13473.97,2739.5,79.67,12,udpp
C,10,2409.4,1108.9100000000003,53.98,12,udpp
E,2,430.14,271.02,36.99,12,udpp
D,6,2039.89,364.26,82.14,12,udpp
F,1,285.89,285.89,0.0,12,udpp
total,50,7857.340000000001,6964.280000000002,75.28,12,istop
A,17,3087.7599999999998,2454.5,74.25,12,istop
B,14,2739.5,2608.0900000000006,80.64,12,istop
C,10,1108.9099999999999,1004.6100000000001,58.3,12,istop
D,6,364.26,351.65,82.76,12,istop
E,2,271.02,259.54,39.66,12,istop
F,1,285.89,285.89,0.0,12,istop
total,50,76303.86000000002,5902.04,92.27,13,mincost
F,1,0.0,0.0,0.0,13,mincost
A,17,16147.390000000001,2344.37,85.48,13,mincost
C,9,5444.92,693.63,87.26,13,mincost
B,12,11883.920000000002,1489.7500000000002,87.46,13,mincost
D,8,41043.97,622.06,98.48,13,mincost
E,3,1783.6599999999999,752.23,57.83,13,mincost
total,50,76303.86000000002,5902.04,92.27,13,nnbound
F,1,0.0,0.0,0.0,13,nnbound
A,17,16147.390000000001,2344.37,85.48,13,nnbound
C,9,5444.92,693.63,87.26,13,nnbound
B,12,11883.920000000002,1489.7500000000002,87.46,13,nnbound
D,8,41043.97,622.06,98.48,13,nnbound
E,3,1783.6599999999999,752.23,57.83,13,nnbound
total,50,76303.86000000002,14997.7,80.34,13,udpp
F,1,0.0,0.0,0.0,13,udpp
A,17,16147.390000000001,2456.03,84.79,13,udpp
C,9,5444.92,671.6999999999999,87.66,13,udpp
B,12,11883.920000000002,1482.8400000000001,87.52,13,udpp
D,8,41043.97,9634.210000000001,76.53,13,udpp
E,3,1783.6599999999999,752.92,57.79,13,udpp
total,50,14997.7,9115.380000000001,88.05,13,istop
F,1,0.0,0.0,0.0,13,istop
A,17,2456.0299999999997,2250.32,86.06,13,istop
C,9,671.6999999999999,590.4799999999999,89.16,13,istop
B,12,1482.8400000000001,1408.24,88.15,13,istop
D,8,9634.210000000001,4193.32,89.78,13,istop
E,3,752.92,673.02,62.27,13,istop
total,50,68724.70000000001,5265.649999999999,92.34,14,mincost
E,3,375.13,258.67,31.05,14,mincost
B,15,29637.230000000003,1313.9499999999998,95.57,14,mincost
C,8,6994.1,590.9499999999999,91.55,14,mincost
A,17,21568.19,2451.36,88.63,14,mincost
D,6,9852.45,333.23,96.62,14,mincost
F,1,297.6,317.49,-6.68,14,mincost
total,50,68724.70000000001,5266.0599999999995,92.34,14,nnbound
E,3,375.13,258.67,31.05,14,nnbound
B,15,29637.230000000003,1313.9499999999998,95.57,14,nnbound
C,8,6994.1,590.9499999999999,91.55,14,nnbound
A,17,21568.19,2471.66,88.54,14,nnbound
D,6,9852.45,333.23,96.62,14,nnbound
F,1,297.6,297.6,0.0,14,nnbound
total,50,68724.70000000001,11105.27,83.84,14,udpp
E,3,375.13,69.6,81.45,14,udpp
B,15,29637.230000000003,2487.4599999999996,91.61,14,udpp
C,8,6994.1,917.5,86.88,14,udpp
A,17,21568.19,1521.39,92.95,14,udpp
D,6,9852.45,5811.72,41.01,14,udpp
F,1,297.6,297.6,0.0,14,udpp
total,50,11105.270000000002,7097.57,89.67,14,istop
E,3,69.6,69.6,81.45,14,istop
C,8,917.5,859.66,87.71,14,istop
A,17,1521.3899999999999,1519.52,92.95,14,istop
B,15,2487.46,2181.2,92.64,14,istop
D,6,5811.72,2169.99,77.98,14,istop
F,1,297.6,297.6,0.0,14,istop
total,50,35629.840000000004,4915.5999999999985,86.2,15,mincost
D,5,478.83,416.27,13.07,15,mincost
A,17,16713.64,1626.8699999999997,90.27,15,mincost
B,14,5313.2,1582.13,70.22,15,mincost
C,10,12846.380000000001,904.6499999999999,92.96,15,mincost
E,3,243.7,335.7,-37.75,15,mincost
F,1,34.09,49.98,-46.61,15,mincost
total,50,35629.840000000004,5039.759999999998,85.86,15,nnbound
D,5,478.83,436.09999999999997,8.92,15,nnbound
A,17,16713.64,1704.1299999999999,89.8,15,nnbound
B,14,5313.2,1629.15,69.34,15,nnbound
C,10,12846.380000000001,1000.8099999999998,92.21,15,nnbound
E,3,243.7,242.60999999999999,0.45,15,nnbound
F,1,34.09,26.96,20.92,15,nnbound
total,50,35629.840000000004,9092.070000000002,74.48,15,udpp
D,5,478.83,407.52,14.89,15,udpp
A,17,16713.64,2280.15,86.36,15,udpp
B,14,5313.2,1563.4400000000003,70.57,15,udpp
C,10,12846.380000000001,4705.07,63.37,15,udpp
E,3,243.7,108.93,55.3,15,udpp
F,1,34.09,26.96,20.92,15,udpp
total,50,9092.069999999998,6824.38,80.85,15,istop
D,5,407.52000000000004,407.52000000000004,14.89,15,istop
B,14,1563.44,1549.19,70.84,15,istop
A,17,2280.15,1939.25,88.4,15,istop
C,10,4705.070000000001,2845.9500000000003,77.85,15,istop
F,1,26.96,26.96,20.92,15,istop
