airline,num flights,initial costs,final costs,reduction %,run,model
total,50,38586.76,6402.190000000001,83.41,38,nnbound
B,14,9286.87,2383.69,74.33,38,nnbound
A,17,11478.639999999998,1836.6299999999999,84.0,38,nnbound
D,6,1252.12,989.7800000000001,20.95,38,nnbound
C,10,11609.949999999999,907.1499999999999,92.19,38,nnbound
E,2,525.81,123.82,76.45,38,nnbound
F,1,4433.37,161.12,96.37,38,nnbound
total,50,38586.76,11212.240000000002,70.94,38,udpp
B,14,9286.87,2391.5099999999998,74.25,38,udpp
A,17,11478.639999999998,1488.7999999999997,87.03,38,udpp
D,6,1252.12,714.99,42.9,38,udpp
C,10,11609.949999999999,1657.76,85.72,38,udpp
E,2,525.81,525.81,0.0,38,udpp
F,1,4433.37,4433.37,0.0,38,udpp
total,50,11212.24,10974.1,71.56,38,istop
B,14,2391.51,2391.51,74.25,38,istop
A,17,1488.8,1472.1299999999999,87.18,38,istop
D,6,714.99,698.22,44.24,38,istop
C,10,1657.76,1487.2599999999998,87.19,38,istop
E,2,525.81,491.61,6.5,38,istop
F,1,4433.37,4433.37,0.0,38,istop
total,50,30815.91,5968.559999999998,80.63,39,mincost
A,19,8579.62,1347.26,84.3,39,mincost
D,7,1132.45,1331.96,-17.62,39,mincost
B,13,17396.800000000003,2030.7300000000002,88.33,39,mincost
C,8,3165.69,821.4299999999998,74.05,39,mincost
E,2,392.18,321.74,17.96,39,mincost
F,1,149.17,115.44,22.61,39,mincost
total,50,30815.91,5972.1799999999985,80.62,39,nnbound
A,19,8579.62,1424.02,83.4,39,nnbound
D,7,1132.45,1120.73,1.03,39,nnbound
B,13,17396.800000000003,2030.7300000000002,88.33,39,nnbound
C,8,3165.69,959.52,69.69,39,nnbound
E,2,392.18,321.74,17.96,39,nnbound
F,1,149.17,115.44,22.61,39,nnbound
total,50,30815.91,6792.200000000001,77.96,39,udpp
A,19,8579.62,2353.8,72.57,39,udpp
D,7,1132.45,399.26,64.74,39,udpp
B,13,17396.800000000003,1704.3000000000002,90.2,39,udpp
C,8,3165.69,1831.5299999999997,42.14,39,udpp
E,2,392.18,354.14,9.7,39,udpp
F,1,149.17,149.17,0.0,39,udpp
total,50,6792.2,6607.2300000000005,78.56,39,istop
A,19,2353.8,2312.4900000000002,73.05,39,istop
D,7,399.26,393.43,65.26,39,istop
B,13,1704.3,1687.49,90.3,39,istop
C,8,1831.53,1710.51,45.97,39,istop
E,2,354.14,354.14,9.7,39,istop
F,1,149.17,149.17,0.0,39,istop
total,50,32913.02,7159.949999999999,78.25,40,mincost
A,17,6076.389999999999,2567.7400000000002,57.74,40,mincost
B,12,5675.349999999999,1996.8999999999999,64.81,40,mincost
D,7,12459.55,1089.7799999999997,91.25,40,mincost
C,11,6964.88,1054.25,84.86,40,mincost
E,2,1066.38,259.08,75.7,40,mincost
F,1,670.47,192.2,71.33,40,mincost
total,50,32913.02,7159.949999999999,78.25,40,nnbound
A,17,6076.389999999999,2567.7400000000002,57.74,40,nnbound
B,12,5675.349999999999,1996.8999999999999,64.81,40,nnbound
D,7,12459.55,1089.7799999999997,91.25,40,nnbound
C,11,6964.88,1054.25,84.86,40,nnbound
E,2,1066.38,259.08,75.7,40,nnbound
F,1,670.47,192.2,71.33,40,nnbound
total,50,32913.02,9755.71,70.36,40,udpp
A,17,6076.389999999999,2933.6600000000003,51.72,40,udpp
B,12,5675.349999999999,2150.5699999999997,62.11,40,udpp
D,7,12459.55,761.37,93.89,40,udpp
C,11,6964.88,2194.5899999999997,68.49,40,udpp
E,2,1066.38,1045.05,2.0,40,udpp
F,1,670.47,670.47,0.0,40,udpp
total,50,9755.71,7906.03,75.98,40,istop
A,17,2933.66,2402.75,60.46,40,istop
B,12,2150.57,2142.66,62.25,40,istop
C,11,2194.59,1744.2000000000003,74.96,40,istop
D,7,761.37,760.9300000000001,93.89,40,istop
E,2,1045.05,185.02,82.65,40,istop
F,1,670.47,670.47,0.0,40,istop
total,50,21845.03,3632.5800000000004,83.37,41,mincost
B,15,10810.619999999999,935.14,91.35,41,mincost
A,15,5363.87,1230.38,77.06,41,mincost
D,6,593.28,527.06,11.16,41,mincost
C,10,2144.8199999999997,665.1300000000001,68.99,41,mincost
E,3,929.08,274.87,70.41,41,mincost
F,1,2003.36,0.0,100.0,41,mincost
total,50,21845.03,3632.5800000000004,83.37,41,nnbound
B,15,10810.619999999999,935.14,91.35,41,nnbound
A,15,5363.87,1230.38,77.06,41,nnbound
D,6,593.28,527.06,11.16,41,nnbound
C,10,2144.8199999999997,665.1300000000001,68.99,41,nnbound
E,3,929.08,274.87,70.41,41,nnbound
F,1,2003.36,0.0,100.0,41,nnbound
total,50,21845.03,6752.270000000001,69.09,41,udpp
B,15,10810.619999999999,1146.5600000000002,89.39,41,udpp
A,15,5363.87,1653.5899999999997,69.17,41,udpp
D,6,593.28,270.34,54.43,41,udpp
C,10,2144.8199999999997,1472.41,31.35,41,udpp
E,3,929.08,206.01,77.83,41,udpp
F,1,2003.36,2003.36,0.0,41,udpp
total,50,6752.27,6271.0700000000015,71.29,41,istop
B,15,1146.56,1089.21,89.92,41,istop
A,15,1653.5900000000001,1379.28,74.29,41,istop
D,6,270.34,236.7,60.1,41,istop
C,10,1472.4099999999999,1356.5100000000002,36.75,41,istop
E,3,206.01,206.01,77.83,41,istop
F,1,2003.36,2003.36,0.0,41,istop
total,50,27580.479999999996,5682.099999999999,79.4,42,mincost
C,9,4096.4,744.76,81.82,42,mincost
A,15,8381.57,1766.01,78.93,42,mincost
D,7,2987.0699999999997,1240.97,58.46,42,mincost
B,15,11327.18,1340.4799999999998,88.17,42,mincost
F,1,9.57,71.62,-648.38,42,mincost
E,3,778.69,518.26,33.44,42,mincost
total,50,27580.479999999996,6046.74,78.08,42,nnbound
C,9,4096.4,808.1800000000001,80.27,42,nnbound
A,15,8381.57,1813.7299999999998,78.36,42,nnbound
D,7,2987.0699999999997,1240.97,58.46,42,nnbound
B,15,11327.18,1640.91,85.51,42,nnbound
F,1,9.57,9.57,0.0,42,nnbound
E,3,778.69,533.38,31.5,42,nnbound
total,50,27580.479999999996,6744.9,75.54,42,udpp
C,9,4096.4,2092.57,48.92,42,udpp
A,15,8381.57,1186.4099999999999,85.85,42,udpp
D,7,2987.0699999999997,743.1399999999999,75.12,42,udpp
B,15,11327.18,2119.23,81.29,42,udpp
F,1,9.57,6.06,36.68,42,udpp
E,3,778.69,597.49,23.27,42,udpp
total,50,6744.900000000001,6542.84,76.28,42,istop
C,9,2092.57,2078.78,49.25,42,istop
A,15,1186.4099999999999,1074.93,87.18,42,istop
D,7,743.1399999999999,696.43,76.69,42,istop
B,15,2119.23,2115.6299999999997,81.32,42,istop
F,1,6.06,6.06,36.68,42,istop
E,3,597.49,571.01,26.67,42,istop
total,50,67559.29000000001,5782.92,91.44,43,mincost
D,7,1147.59,969.8499999999999,15.49,43,mincost
B,12,14119.750000000002,841.17,94.04,43,mincost
A,15,41700.54,1927.4400000000003,95.38,43,mincost
C,12,9393.279999999999,1507.8200000000002,83.95,43,mincost
F,1,113.82,406.86,-257.46,43,mincost
E,3,1084.31,129.78,88.03,43,mincost
total,50,67559.29000000001,5858.78,91.33,43,nnbound
D,7,1147.59,986.66,14.02,43,nnbound
B,12,14119.750000000002,1108.8400000000001,92.15,43,nnbound
A,15,41700.54,1995.2200000000005,95.22,43,nnbound
C,12,9393.279999999999,1524.4600000000003,83.77,43,nnbound
F,1,113.82,113.82,0.0,43,nnbound
E,3,1084.31,129.78,88.03,43,nnbound
total,50,67559.29000000001,8461.27,87.48,43,udpp
D,7,1147.59,332.67,71.01,43,udpp
B,12,14119.750000000002,2947.23,79.13,43,udpp
A,15,41700.54,2163.42,94.81,43,udpp
C,12,9393.279999999999,1819.8200000000002,80.63,43,udpp
F,1,113.82,113.82,0.0,43,udpp
E,3,1084.31,1084.31,0.0,43,udpp
total,50,8461.269999999999,7832.769999999998,88.41,43,istop
D,7,332.67,317.93,72.3,43,istop
B,12,2947.23,2592.56,81.64,43,istop
A,15,2163.42,2011.16,95.18,43,istop
C,12,1819.8200000000002,1712.99,81.76,43,istop
F,1,113.82,113.82,0.0,43,istop
E,3,1084.31,1084.31,0.0,43,istop
total,50,31631.89,5620.16,82.23,44,mincost
C,9,2134.08,1275.38,40.24,44,mincost
D,6,989.8799999999999,727.5300000000001,26.5,44,mincost
B,12,19771.399999999998,1152.59,94.17,44,mincost
A,19,7512.009999999999,2196.7500000000005,70.76,44,mincost
E,3,640.11,267.91,58.15,44,mincost
F,1,584.41,0.0,100.0,44,mincost
total,50,31631.89,5620.16,82.23,44,nnbound
C,9,2134.08,1275.38,40.24,44,nnbound
D,6,989.8799999999999,727.5300000000001,26.5,44,nnbound
B,12,19771.399999999998,1152.59,94.17,44,nnbound
A,19,7512.009999999999,2196.7500000000005,70.76,44,nnbound
E,3,640.11,267.91,58.15,44,nnbound
F,1,584.41,0.0,100.0,44,nnbound
total,50,31631.89,7046.800000000001,77.72,44,udpp
C,9,2134.08,1158.12,45.73,44,udpp
D,6,989.8799999999999,930.57,5.99,44,udpp
B,12,19771.399999999998,1560.63,92.11,44,udpp
A,19,7512.009999999999,2432.2799999999997,67.62,44,udpp
E,3,640.11,380.79,40.51,44,udpp
F,1,584.41,584.41,0.0,44,udpp
total,50,7046.8,6522.349999999999,79.38,44,istop
C,9,1158.1200000000001,1125.76,47.25,44,istop
D,6,930.57,799.48,19.23,44,istop
B,12,1560.63,1282.0099999999998,93.52,44,istop
A,19,2432.28,2349.9,68.72,44,istop
E,3,380.79,380.79,40.51,44,istop
F,1,584.41,584.41,0.0,44,istop
total,50,34022.520000000004,6608.330000000001,80.58,45,mincost
C,9,7254.950000000002,654.19,90.98,45,mincost
A,18,5774.170000000001,2437.57,57.78,45,mincost
D,6,2869.23,615.0699999999999,78.56,45,mincost
B,13,17443.559999999998,1833.2800000000002,89.49,45,mincost
E,3,633.97,851.62,-34.33,45,mincost
F,1,46.64,216.6,-364.41,45,mincost
total,50,34022.520000000004,6890.700000000002,79.75,45,nnbound
C,9,7254.950000000002,1029.1,85.82,45,nnbound
A,18,5774.170000000001,2632.6400000000003,54.41,45,nnbound
D,6,2869.23,633.23,77.93,45,nnbound
B,13,17443.559999999998,1917.3700000000003,89.01,45,nnbound
E,3,633.97,631.72,0.35,45,nnbound
F,1,46.64,46.64,0.0,45,nnbound
total,50,34022.520000000004,9620.750000000002,71.72,45,udpp
C,9,7254.950000000002,2028.97,72.03,45,udpp
A,18,5774.170000000001,2202.2999999999997,61.86,45,udpp
D,6,2869.23,406.2,85.84,45,udpp
B,13,17443.559999999998,4343.710000000001,75.1,45,udpp
E,3,633.97,598.5,5.59,45,udpp
F,1,46.64,41.07,11.94,45,udpp
total,50,9620.75,8051.8099999999995,76.33,45,istop
C,9,2028.9699999999998,2011.91,72.27,45,istop
A,18,2202.3,2167.2000000000003,62.47,45,istop
D,6,406.2,406.2,85.84,45,istop
B,13,4343.71,2848.39,83.67,45,istop
E,3,598.5,577.04,8.98,45,istop
F,1,41.07,41.07,11.94,45,istop
total,50,37865.69,6236.120000000001,83.53,46,mincost
C,9,11225.849999999999,830.3800000000001,92.6,46,mincost
F,1,18.88,0.0,100.0,46,mincost
B,14,13256.630000000001,1370.8100000000002,89.66,46,mincost
E,3,2062.47,928.83,54.97,46,mincost
A,17,5656.18,1977.23,65.04,46,mincost
D,6,5645.679999999999,1128.8700000000001,80.0,46,mincost
total,50,37865.69,6236.120000000001,83.53,46,nnbound
C,9,11225.849999999999,830.3800000000001,92.6,46,nnbound
F,1,18.88,0.0,100.0,46,nnbound
B,14,13256.630000000001,1370.8100000000002,89.66,46,nnbound
E,3,2062.47,928.83,54.97,46,nnbound
A,17,5656.18,1977.23,65.04,46,nnbound
D,6,5645.679999999999,1128.8700000000001,80.0,46,nnbound
total,50,37865.69,6891.299999999999,81.8,46,udpp
C,9,11225.849999999999,1891.17,83.15,46,udpp
F,1,18.88,0.0,100.0,46,udpp
B,14,13256.630000000001,1232.87,90.7,46,udpp
E,3,2062.47,312.31,84.86,46,udpp
A,17,5656.18,2416.83,57.27,46,udpp
D,6,5645.679999999999,1038.12,81.61,46,udpp
total,50,6891.299999999998,6807.7699999999995,82.02,46,istop
C,9,1891.17,1883.0800000000002,83.23,46,istop
F,1,0.0,0.0,100.0,46,istop
B,14,1232.8700000000001,1196.3400000000001,90.98,46,istop
A,17,2416.8300000000004,2398.2400000000002,57.6,46,istop
E,3,312.31,312.31,84.86,46,istop
D,6,1038.12,1017.8,81.97,46,istop
total,50,28046.89,4138.15,85.25,47,mincost
A,17,4222.87,1415.4500000000003,66.48,47,mincost
B,11,2373.8599999999997,1434.1100000000001,39.59,47,mincost
C,10,16435.6,443.92999999999995,97.3,47,mincost
D,6,2606.74,306.69,88.23,47,mincost
E,4,639.71,415.09000000000003,35.11,47,mincost
F,2,1768.1100000000001,122.88,93.05,47,mincost
total,50,28046.89,4138.15,85.25,47,nnbound
A,17,4222.87,1415.4500000000003,66.48,47,nnbound
B,11,2373.8599999999997,1434.1100000000001,39.59,47,nnbound
C,10,16435.6,443.92999999999995,97.3,47,nnbound
D,6,2606.74,306.69,88.23,47,nnbound
E,4,639.71,415.09000000000003,35.11,47,nnbound
F,2,1768.1100000000001,122.88,93.05,47,nnbound
total,50,28046.89,6098.250000000001,78.26,47,udpp
A,17,4222.87,1349.7800000000002,68.04,47,udpp
B,11,2373.8599999999997,846.27,64.35,47,udpp
C,10,16435.6,1136.78,93.08,47,udpp
D,6,2606.74,1372.2499999999998,47.36,47,udpp
E,4,639.71,197.02,69.2,47,udpp
F,2,1768.1100000000001,1196.15,32.35,47,udpp
total,50,6098.25,4735.09,83.12,47,istop
A,17,1349.78,1298.85,69.24,47,istop
B,11,846.27,832.39,64.94,47,istop
C,10,1136.7800000000002,1065.72,93.52,47,istop
D,6,1372.25,1165.0600000000002,55.31,47,istop
E,4,197.01999999999998,191.8,70.02,47,istop
F,2,1196.15,181.27,89.75,47,istop
total,50,51472.79,4970.380000000001,90.34,48,mincost
C,11,12777.27,1081.67,91.53,48,mincost
B,12,12904.47,917.0899999999999,92.89,48,mincost
E,3,143.62,422.61,-194.26,48,mincost
A,17,17825.800000000003,1373.2099999999998,92.3,48,mincost
D,6,7683.73,900.38,88.28,48,mincost
F,1,137.9,275.42,-99.72,48,mincost
total,50,51472.79,5328.11,89.65,48,nnbound
C,11,12777.27,1296.0600000000002,89.86,48,nnbound
B,12,12904.47,1042.7299999999998,91.92,48,nnbound
E,3,143.62,141.05,1.79,48,nnbound
A,17,17825.800000000003,1640.4200000000003,90.8,48,nnbound
D,6,7683.73,1069.95,86.08,48,nnbound
F,1,137.9,137.9,0.0,48,nnbound
total,50,51472.79,6067.760000000001,88.21,48,udpp
C,11,12777.27,746.3399999999998,94.16,48,udpp
B,12,12904.47,1466.4399999999998,88.64,48,udpp
E,3,143.62,138.94,3.26,48,udpp
A,17,17825.800000000003,2393.36,86.57,48,udpp
D,6,7683.73,1184.7800000000002,84.58,48,udpp
F,1,137.9,137.9,0.0,48,udpp
total,50,6067.76,5831.299999999999,88.67,48,istop
C,11,746.34,743.9399999999999,94.18,48,istop
B,12,1466.44,1342.85,89.59,48,istop
E,3,138.94,126.94999999999999,11.61,48,istop
A,17,2393.36,2324.46,86.96,48,istop
D,6,1184.78,1155.1999999999998,84.97,48,istop
F,1,137.9,137.9,0.0,48,istop
total,50,28861.96,5179.539999999998,82.05,49,mincost
C,10,1501.31,1454.45,3.12,49,mincost
A,17,7642.66,1648.36,78.43,49,mincost
B,14,7168.240000000001,861.2299999999999,87.99,49,mincost
E,3,347.97,921.74,-164.89,49,mincost
D,5,11660.34,260.05,97.77,49,mincost
F,1,541.44,33.71,93.77,49,mincost
total,50,28861.96,5272.360000000001,81.73,49,nnbound
C,10,1501.31,1496.06,0.35,49,nnbound
A,17,7642.66,1852.0099999999998,75.77,49,nnbound
B,14,7168.240000000001,1224.11,82.92,49,nnbound
E,3,347.97,343.57000000000005,1.26,49,nnbound
D,5,11660.34,322.9,97.23,49,nnbound
F,1,541.44,33.71,93.77,49,nnbound
total,50,28861.96,8211.48,71.55,49,udpp
C,10,1501.31,827.78,44.86,49,udpp
A,17,7642.66,1331.06,82.58,49,udpp
B,14,7168.240000000001,2282.68,68.16,49,udpp
E,3,347.97,347.97,0.0,49,udpp
D,5,11660.34,2880.5499999999997,75.3,49,udpp
F,1,541.44,541.44,0.0,49,udpp
total,50,8211.480000000001,8006.15,72.26,49,istop
C,10,827.7800000000001,805.6200000000001,46.34,49,istop
A,17,1331.06,1317.43,82.76,49,istop
B,14,2282.6799999999994,2213.6400000000003,69.12,49,istop
E,3,347.97,347.97,0.0,49,istop
D,5,2880.55,2780.05,76.16,49,istop
F,1,541.44,541.44,0.0,49,istop
total,50,39687.15000000001,6588.45,83.4,50,mincost
D,7,2208.3399999999997,993.4299999999998,55.01,50,mincost
B,13,18505.96,1976.52,89.32,50,mincost
A,16,8609.13,2303.3,73.25,50,mincost
C,10,2946.6799999999994,867.6,70.56,50,mincost
E,3,7169.34,169.07000000000002,97.64,50,mincost
F,1,247.7,278.53,-12.45,50,mincost
total,50,39687.15000000001,6589.54,83.4,50,nnbound
D,7,2208.3399999999997,993.4299999999998,55.01,50,nnbound
B,13,18505.96,1976.52,89.32,50,nnbound
A,16,8609.13,2335.2200000000003,72.88,50,nnbound
C,10,2946.6799999999994,867.6,70.56,50,nnbound
E,3,7169.34,169.07000000000002,97.64,50,nnbound
F,1,247.7,247.7,0.0,50,nnbound
total,50,39687.15000000001,12405.949999999999,68.74,50,udpp
D,7,2208.3399999999997,1381.6200000000001,37.44,50,udpp
B,13,18505.96,1483.2700000000004,91.98,50,udpp
A,16,8609.13,1736.48,79.83,50,udpp
C,10,2946.6799999999994,1871.92,36.47,50,udpp
E,3,7169.34,5684.96,20.7,50,udpp
F,1,247.7,247.7,0.0,50,udpp
total,50,12405.95,8938.390000000005,77.48,50,istop
D,7,1381.6200000000001,1105.12,49.96,50,istop
B,13,1483.27,1408.6399999999999,92.39,50,istop
A,16,1736.48,1733.4500000000003,79.86,50,istop
C,10,1871.9199999999998,1774.4499999999998,39.78,50,istop
E,3,5684.96,2669.0299999999997,62.77,50,istop
F,1,247.7,247.7,0.0,50,istop
total,50,68996.36,5083.34,92.63,51,mincost
E,3,360.38,196.65,45.43,51,mincost
B,15,4209.14,947.7299999999999,77.48,51,mincost
A,17,12288.019999999999,2368.8200000000006,80.72,51,mincost
C,9,49969.1,591.54,98.82,51,mincost
D,5,920.0500000000001,845.1200000000001,8.14,51,mincost
F,1,1249.67,133.48,89.32,51,mincost
total,50,68996.36,5083.34,92.63,51,nnbound
E,3,360.38,196.65,45.43,51,nnbound
B,15,4209.14,947.7299999999999,77.48,51,nnbound
A,17,12288.019999999999,2368.8200000000006,80.72,51,nnbound
C,9,49969.1,591.54,98.82,51,nnbound
D,5,920.0500000000001,845.1200000000001,8.14,51,nnbound
F,1,1249.67,133.48,89.32,51,nnbound
total,50,68996.36,9500.599999999999,86.23,51,udpp
E,3,360.38,72.93,79.76,51,udpp
B,15,4209.14,1858.9199999999996,55.84,51,udpp
A,17,12288.019999999999,2322.3,81.1,51,udpp
C,9,49969.1,3754.68,92.49,51,udpp
D,5,920.0500000000001,242.1,73.69,51,udpp
F,1,1249.67,1249.67,0.0,51,udpp
total,50,9500.6,8180.539999999999,88.14,51,istop
E,3,72.93,72.93,79.76,51,istop
B,15,1858.9199999999998,1856.0399999999997,55.9,51,istop
A,17,2322.3,2306.73,81.23,51,istop
D,5,242.1,242.1,73.69,51,istop
C,9,3754.68,2453.0699999999997,95.09,51,istop
F,1,1249.67,1249.67,0.0,51,istop
total,50,55122.130000000005,7890.71,85.69,52,mincost
B,13,17882.95,1296.8799999999997,92.75,52,mincost
A,17,8225.569999999998,2524.24,69.31,52,mincost
E,4,3386.04,1796.5900000000001,46.94,52,mincost
C,9,10761.560000000001,1153.41,89.28,52,mincost
D,6,14473.4,815.88,94.36,52,mincost
F,1,392.61,303.71,22.64,52,mincost
total,50,55122.130000000005,7890.71,85.69,52,nnbound
B,13,17882.95,1296.8799999999997,92.75,52,nnbound
A,17,8225.569999999998,2524.24,69.31,52,nnbound
E,4,3386.04,1796.5900000000001,46.94,52,nnbound
C,9,10761.560000000001,1153.41,89.28,52,nnbound
D,6,14473.4,815.88,94.36,52,nnbound
F,1,392.61,303.71,22.64,52,nnbound
total,50,55122.130000000005,23806.409999999993,56.81,52,udpp
B,13,17882.95,4383.35,75.49,52,udpp
A,17,8225.569999999998,3067.24,62.71,52,udpp
E,4,3386.04,290.15,91.43,52,udpp
C,9,10761.560000000001,1856.11,82.75,52,udpp
D,6,14473.4,13816.950000000003,4.54,52,udpp
F,1,392.61,392.61,0.0,52,udpp
total,50,23806.409999999996,10056.5,81.76,52,istop
B,13,4383.349999999999,4350.75,75.67,52,istop
A,17,3067.2400000000002,2468.3500000000004,69.99,52,istop
E,4,290.15,277.3,91.81,52,istop
C,9,1856.1100000000001,1774.21,83.51,52,istop
D,6,13816.950000000003,793.2800000000001,94.52,52,istop
F,1,392.61,392.61,0.0,52,istop
total,50,35004.12,5266.27,84.96,53,mincost
B,14,8215.45,1582.91,80.73,53,mincost
D,6,4211.11,189.33,95.5,53,mincost
A,16,12640.720000000001,2093.84,83.44,53,mincost
C,10,7211.25,784.38,89.12,53,mincost
F,1,54.45,356.14,-554.07,53,mincost
E,3,2671.1400000000003,259.67,90.28,53,mincost
total,50,35004.12,5406.17,84.56,53,nnbound
B,14,8215.45,1582.91,80.73,53,nnbound
D,6,4211.11,667.64,84.15,53,nnbound
A,16,12640.720000000001,2093.84,83.44,53,nnbound
C,10,7211.25,784.38,89.12,53,nnbound
F,1,54.45,17.73,67.44,53,nnbound
E,3,2671.1400000000003,259.67,90.28,53,nnbound
total,50,35004.12,8123.259999999999,76.79,53,udpp
B,14,8215.45,1224.0400000000002,85.1,53,udpp
D,6,4211.11,1287.26,69.43,53,udpp
A,16,12640.720000000001,1813.7400000000002,85.65,53,udpp
C,10,7211.25,1205.94,83.28,53,udpp
F,1,54.45,26.71,50.95,53,udpp
E,3,2671.1400000000003,2565.57,3.95,53,udpp
total,50,8123.259999999999,5979.329999999999,82.92,53,istop
B,14,1224.04,1108.52,86.51,53,istop
D,6,1287.26,1287.26,69.43,53,istop
A,16,1813.74,1748.67,86.17,53,istop
C,10,1205.94,1113.53,84.56,53,istop
F,1,26.71,26.71,50.95,53,istop
E,3,2565.5699999999997,694.64,73.99,53,istop
total,50,52750.26999999999,6544.1900000000005,87.59,54,mincost
A,17,16782.64,2460.9900000000002,85.34,54,mincost
D,8,7473.56,574.4300000000001,92.31,54,mincost
B,12,18339.12,1697.0900000000001,90.75,54,mincost
C,9,4083.88,1539.5500000000002,62.3,54,mincost
E,3,5826.139999999999,47.23,99.19,54,mincost
F,1,244.93,224.9,8.18,54,mincost
total,50,52750.26999999999,6544.1900000000005,87.59,54,nnbound
A,17,16782.64,2460.9900000000002,85.34,54,nnbound
D,8,7473.56,574.4300000000001,92.31,54,nnbound
B,12,18339.12,1697.0900000000001,90.75,54,nnbound
C,9,4083.88,1539.5500000000002,62.3,54,nnbound
E,3,5826.139999999999,47.23,99.19,54,nnbound
F,1,244.93,224.9,8.18,54,nnbound
total,50,52750.26999999999,9836.839999999998,81.35,54,udpp
A,17,16782.64,2269.5,86.48,54,udpp
D,8,7473.56,1044.93,86.02,54,udpp
B,12,18339.12,1300.8899999999999,92.91,54,udpp
C,9,4083.88,1529.06,62.56,54,udpp
E,3,5826.139999999999,3447.53,40.83,54,udpp
F,1,244.93,244.93,0.0,54,udpp
total,50,9836.84,9307.699999999999,82.36,54,istop
A,17,2269.4999999999995,2256.8999999999996,86.55,54,istop
D,8,1044.93,1044.93,86.02,54,istop
B,12,1300.89,1256.4900000000002,93.15,54,istop
C,9,1529.0600000000002,1094.6799999999998,73.2,54,istop
E,3,3447.53,3409.77,41.47,54,istop
F,1,244.93,244.93,0.0,54,istop
total,50,37994.86000000001,5219.86,86.26,55,mincost
A,16,3424.1400000000003,2031.5900000000001,40.67,55,mincost
B,14,2837.65,1214.78,57.19,55,mincost
C,8,6938.389999999999,940.1200000000001,86.45,55,mincost
E,4,1502.5600000000002,580.6600000000001,61.36,55,mincost
D,7,17618.24,397.29,97.75,55,mincost
F,1,5673.88,55.42,99.02,55,mincost
total,50,37994.86000000001,5219.86,86.26,55,nnbound
A,16,3424.1400000000003,2016.14,41.12,55,nnbound
B,14,2837.65,1230.23,56.65,55,nnbound
C,8,6938.389999999999,940.1200000000001,86.45,55,nnbound
E,4,1502.5600000000002,580.6600000000001,61.36,55,nnbound
D,7,17618.24,397.29,97.75,55,nnbound
F,1,5673.88,55.42,99.02,55,nnbound
total,50,37994.86000000001,18807.219999999998,50.5,55,udpp
A,16,3424.1400000000003,1113.2099999999998,67.49,55,udpp
B,14,2837.65,1195.07,57.89,55,udpp
C,8,6938.389999999999,4784.070000000001,31.05,55,udpp
E,4,1502.5600000000002,1404.23,6.54,55,udpp
D,7,17618.24,4636.76,73.68,55,udpp
F,1,5673.88,5673.88,0.0,55,udpp
total,50,18807.219999999998,14791.69,61.07,55,istop
A,16,1113.21,1032.53,69.85,55,istop
B,14,1195.07,1161.26,59.08,55,istop
C,8,4784.07,2012.26,71.0,55,istop
E,4,1404.23,465.59000000000003,69.01,55,istop
D,7,4636.76,4446.17,74.76,55,istop
F,1,5673.88,5673.88,0.0,55,istop
total,50,18964.569999999996,4831.2300000000005,74.52,56,mincost
A,17,4760.48,1447.1200000000001,69.6,56,mincost
E,3,1133.2,548.03,51.64,56,mincost
B,13,4442.97,1490.6000000000001,66.45,56,mincost
C,9,4323.83,691.8,84.0,56,mincost
D,7,3674.0699999999997,644.0699999999999,82.47,56,mincost
F,1,630.02,9.61,98.47,56,mincost
total,50,18964.569999999996,4831.23,74.52,56,nnbound
A,17,4760.48,1438.5200000000002,69.78,56,nnbound
E,3,1133.2,548.03,51.64,56,nnbound
B,13,4442.97,1499.2,66.26,56,nnbound
C,9,4323.83,691.8,84.0,56,nnbound
D,7,3674.0699999999997,644.0699999999999,82.47,56,nnbound
F,1,630.02,9.61,98.47,56,nnbound
total,50,18964.569999999996,5988.2300000000005,68.42,56,udpp
A,17,4760.48,912.67,80.83,56,udpp
E,3,1133.2,653.3199999999999,42.35,56,udpp
B,13,4442.97,1622.5500000000002,63.48,56,udpp
C,9,4323.83,867.03,79.95,56,udpp
D,7,3674.0699999999997,1314.23,64.23,56,udpp
F,1,630.02,618.43,1.84,56,udpp
total,50,5988.23,5835.24,69.23,56,istop
A,17,912.67,901.5699999999999,81.06,56,istop
B,13,1622.55,1614.9999999999998,63.65,56,istop
C,9,867.03,827.0,80.87,56,istop
F,1,618.43,618.43,1.84,56,istop
E,3,653.3199999999999,628.59,44.53,56,istop
D,7,1314.23,1244.65,66.12,56,istop
total,50,61066.18,5153.820000000001,91.56,57,mincost
B,13,22671.54,1595.4899999999998,92.96,57,mincost
A,18,29562.840000000004,1668.6200000000001,94.36,57,mincost
D,6,1135.42,489.63,56.88,57,mincost
C,9,6739.369999999999,956.68,85.8,57,mincost
E,3,894.4,234.49,73.78,57,mincost
F,1,62.61,208.91,-233.67,57,mincost
total,50,61066.18,5278.130000000001,91.36,57,nnbound
B,13,22671.54,1644.2299999999998,92.75,57,nnbound
A,18,29562.840000000004,1855.78,93.72,57,nnbound
D,6,1135.42,499.51,56.01,57,nnbound
C,9,6739.369999999999,971.49,85.58,57,nnbound
E,3,894.4,244.51,72.66,57,nnbound
F,1,62.61,62.61,0.0,57,nnbound
total,50,61066.18,6085.700000000001,90.03,57,udpp
B,13,22671.54,818.03,96.39,57,udpp
